Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
19,"I.M. Pires, H.V. Denysyuk, M.V. Villasana, J. Sá, P. Lameski, I. Chorbev, E. Zdravevski, V. Trajkovik, J.F. Morgado, N.M. Garcia",Mobile 5p-medicine approach for cardiovascular patients,2021,Sensors,MDPI,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117291952&doi=10.3390%2fs21216986&partnerID=40&md5=7332e86751f1ef0241239ed5a81046fd,,106,12/11/2024 21:11,Article,10.3390/s21216986,14248220 (ISSN),,21,21,,,19,6.33,2,10,3,"Medicine is heading towards personalized care based on individual situations and condi-tions. With smartphones and increasingly miniaturized wearable devices, the sensors available on these devices can perform long-term continuous monitoring of several user health-related parame-ters, making them a powerful tool for a new medicine approach for these patients. Our proposed system, described in this article, aims to develop innovative solutions based on artificial intelligence techniques to empower patients with cardiovascular disease. These solutions will realize a novel 5P (Predictive, Preventive, Participatory, Personalized, and Precision) medicine approach by providing patients with personalized plans for treatment and increasing their ability for self-monitoring. Such capabilities will be derived by learning algorithms from physiological data and behavioral informa-tion, collected using wearables and smart devices worn by patients with health conditions. Further, developing an innovative system of smart algorithms will also focus on providing monitoring tech-niques, predicting extreme events, generating alarms with varying health parameters, and offering opportunities to maintain active engagement of patients in the healthcare process by promoting the adoption of healthy behaviors and well-being outcomes. The multiple features of this future system will increase the quality of life for cardiovascular diseases patients and provide seamless contact with a healthcare professional. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",,
19,"A. Kunin, N. Sargheini, C. Birkenbihl, N. Moiseeva, H. Fröhlich, O. Golubnitschaja",Voice perturbations under the stress overload in young individuals: phenotyping and suboptimal health as predictors for cascading pathologies,2020,EPMA Journal,Springer Science and Business Media Deutschland GmbH,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095994266&doi=10.1007%2fs13167-020-00229-8&partnerID=40&md5=c1d677e877e83e19aaeb822e9e98c702,,124,12/11/2024 21:11,Article,10.1007/s13167-020-00229-8,18785077 (ISSN),,11,4,517,527,19,4.75,3,6,4,"Verbal communication is one of the most sophisticated human motor skills reflecting both—the mental and physical health of an individual. Voice parameters and quality changes are usually secondary towards functional and/or structural laryngological alterations under specific systemic processes, syndrome and pathologies. These include but are not restricted to dry mouth and Sicca syndromes, body dehydration, hormonal alterations linked to pubertal, menopausal, and andropausal status, respiratory disorders, gastrointestinal reflux, autoimmune diseases, endocrinologic disorders, underweight versus overweight and obesity, and diabetes mellitus. On the other hand, it is well-established that stress overload is a significant risk factor of cascading pathologies, including but not restricted to neurodegenerative and psychiatric disorders, diabetes mellitus, cardiovascular disease, stroke, and cancers. Our current study revealed voice perturbations under the stress overload as a potentially useful biomarker to identify individuals in suboptimal health conditions who might be strongly predisposed to associated pathologies. Contextually, extended surveys applied in the population might be useful to identify, for example, persons at high risk for respiratory complications under pandemic conditions such as COVID-19. Symptoms of dry mouth syndrome, disturbed microcirculation, altered sense regulation, shifted circadian rhythm, and low BMI were positively associated with voice perturbations under the stress overload. Their functional interrelationships and relevance for cascading associated pathologies are presented in the article. Automated analysis of voice recordings via artificial intelligence (AI) has a potential to derive digital biomarkers. Further, predictive machine learning models should be developed that allows for detecting a suboptimal health condition based on voice recordings, ideally in an automated manner using derived digital biomarkers. Follow-up stratification and monitoring of individuals in suboptimal health conditions are recommended using disease-specific cell-free nucleic acids (ccfDNA, ctDNA, mtDNA, miRNA) combined with metabolic patterns detected in body fluids. Application of the cost-effective targeted prevention within the phase of reversible health damage is recommended based on the individualised patient profiling. © 2020, The Author(s).",,
19,"A.J. Buckler, E. Karlöf, M. Lengquist, T. Christian Gasser, L. Maegdefessel, L.P. Matic, U. Hedin",Virtual Transcriptomics,2021,"Arteriosclerosis, Thrombosis, and Vascular Biology",Lippincott Williams and Wilkins,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104751940&doi=10.1161%2fATVBAHA.121.315969&partnerID=40&md5=2290c882f4e44ba4bc10d123b718b51e,,127,12/11/2024 21:11,Article,10.1161/ATVBAHA.121.315969,10795642 (ISSN),,41,5,1738,1750,19,6.33,3,7,3,"Objective: Therapeutic advancements in atherosclerotic cardiovascular disease have improved prevention of ischemic stroke and myocardial infarction, but diagnostic methods for atherosclerotic plaque phenotyping to aid individualized therapy are lacking. In this feasibility study, we aimed to elucidate plaque biology by decoding the molecular phenotype of plaques through analysis of computed-tomography angiography images, making a predictive model for plaque biology referred to as virtual transcriptomics. Approach and Results: We employed machine intelligence using paired computed-tomography angiography and transcriptomics from carotid endarterectomies of 40 patients undergoing stroke-preventive surgery for carotid stenosis. Computed tomography angiographies were analyzed with novel software for accurate characterization of plaque morphology and plaque transcriptomes obtained from microarrays, followed by mathematical modeling for prediction of molecular signatures. Four hundred fourteen coding and noncoding RNAs were robustly predicted using supervised models to estimate gene expression based on plaque morphology. Examples of predicted transcripts included ion transporters, cytokine receptors, and a number of microRNAs whereas pathway analyses demonstrated enrichment of several biological processes relevant for the pathophysiology of atherosclerosis and plaque instability. Finally, the ability of the models to predict plaque gene expression was demonstrated using computed tomography angiographies from 4 sequestered patients and comparisons with transcriptomes of corresponding lesions. Conclusions: The results of this pilot study show that atherosclerotic plaque phenotyping by image analysis of conventional computed-tomography angiography can elucidate the molecular signature of atherosclerotic lesions in a multiscale setting. The study holds promise for optimized personalized therapy in the prevention of myocardial infarction and ischemic stroke, which warrants further investigations in larger cohorts. © 2021 American Heart Association, Inc.",,
19,"M. Cassotta, F. Pistollato, M. Battino","Rheumatoid arthritis research in the 21st century: Limitations of traditional models, new technologies, and opportunities for a human biology-based approach",2020,Altex,ALTEX Edition,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080997010&doi=10.14573%2faltex.1910011&partnerID=40&md5=a609c37be3bd98de84c12c28f8199fe8,,132,12/11/2024 21:11,Article,10.14573/altex.1910011,1868596X (ISSN),,37,2,223,242,19,4.75,6,3,4,"Rheumatoid arthritis (RA) is a chronic systemic autoimmune inflammatory disease characterized by progressive bone and cartilage destruction, functional impairment, and long-term disability. Although RA has been described in the medical literature for over two hundred years, its etiology and pathophysiology are insufficiently understood. The current treatment of RA is mainly empirical or based on drugs that interfere with generic steps of the immune response, with limited efficacy and/or significant side effects. Much of RA research has been traditionally based on animals and simplistic in vitro models, which have been shown to poorly recapitulate human RA etiopathogenesis and drug responses. A revolution in science and technology has produced a new generation of more relevant and predictive tools. These tools, which include patient-derived cells, innovative 3D cell culture systems, computational analyses and models, together with omics and large-scale epidemiological studies represent novel and exciting approaches to enhance and forward RA research in a human biology-based perspective. After considering some pitfalls and flaws of traditional models, in this review we discuss novel tools applicable to design human-oriented RA research, while fostering the need for a more holistic and preventative approach to the disease. Our goal is to stimulate discussion, both at scientific and public level, on the need to explore new avenues in RA research and to support a paradigm-shift from animal-based towards human biology-based systems to better understand human pathophysiology and to develop more effective targeted therapies for personalized treatment and prevention. © The Authors, 2019.",,
17,"J.S. Berger, L. Haskell, W. Ting, F. Lurie, S.-C. Chang, L.A. Mueller, K. Elder, K. Rich, C. Crivera, J.R. Schein, V. Alas",Evaluation of machine learning methodology for the prediction of healthcare resource utilization and healthcare costs in patients with critical limb ischemia—is preventive and personalized approach on the horizon?,2020,EPMA Journal,Springer,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077612839&doi=10.1007%2fs13167-019-00196-9&partnerID=40&md5=0257d8e871133f78c034bd63058d3d4d,,114,12/11/2024 21:11,Article,10.1007/s13167-019-00196-9,18785077 (ISSN),,11,1,53,64,17,4.25,2,11,4,"Background: Critical limb ischemia (CLI) is a severe stage of peripheral arterial disease and has a substantial disease and economic burden not only to patients and families, but also to the society and healthcare systems. We aim to develop a personalized prediction model that utilizes baseline patient characteristics prior to CLI diagnosis to predict subsequent 1-year all-cause hospitalizations and total annual healthcare cost, using a novel Bayesian machine learning platform, Reverse Engineering Forward Simulation™ (REFS™), to support a paradigm shift from reactive healthcare to Predictive Preventive and Personalized Medicine (PPPM)-driven healthcare. Methods: Patients ≥ 50 years with CLI plus clinical activity for a 6-month pre-index and a 12-month post-index period or death during the post-index period were included in this retrospective cohort of the linked Optum-Humedica databases. REFS™ built an ensemble of 256 predictive models to identify predictors of all-cause hospitalizations and total annual all-cause healthcare costs during the 12-month post-index interval. Results: The mean age of 3189 eligible patients was 71.9 years. The most common CLI-related comorbidities were hypertension (79.5%), dyslipidemia (61.4%), coronary atherosclerosis and other heart disease (42.3%), and type 2 diabetes (39.2%). Post-index CLI-related healthcare utilization included inpatient services (14.6%) and ≥ 1 outpatient visits (32.1%). Median annual all-cause and CLI-related costs per patient were $30,514 and $2196, respectively. REFS™ identified diagnosis of skin and subcutaneous tissue infections, cellulitis and abscess, use of nonselective beta-blockers, other aftercare, and osteoarthritis as high confidence predictors of all-cause hospitalizations. The leading predictors for total all-cause costs included region of residence and comorbid health conditions including other diseases of kidney and ureters, blindness of vision defects, chronic ulcer of skin, and chronic ulcer of leg or foot. Conclusions: REFS™ identified baseline predictors of subsequent healthcare resource utilization and costs in CLI patients. Machine learning and model-based, data-driven medicine may complement physicians’ evidence-based medical services. These findings also support the PPPM framework that a paradigm shift from post-diagnosis disease care to early management of comorbidities and targeted prevention is warranted to deliver a cost-effective medical services and desirable healthcare economy. © 2020, European Association for Predictive, Preventive and Personalised Medicine (EPMA).",,
16,"K. Inoue, T.E. Seeman, T. Horwich, M.J. Budoff, K.E. Watson",Heterogeneity in the Association between the Presence of Coronary Artery Calcium and Cardiovascular Events: A Machine-Learning Approach in the MESA Study,2023,Circulation,Lippincott Williams and Wilkins,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145898594&doi=10.1161%2fCIRCULATIONAHA.122.062626&partnerID=40&md5=40aad615b8e4dae4048dfe6455535fe1,,61,12/11/2024 21:11,Article,10.1161/CIRCULATIONAHA.122.062626,00097322 (ISSN),,147,2,132,141,16,16,3,5,1,"Background: Coronary artery calcium (CAC) has been widely recognized as an important predictor of cardiovascular disease (CVD). Given the finite resources, it is important to identify individuals who would receive the most benefit from detecting positive CAC by screening. However, the evidence is limited as to whether the burden of positive CAC on CVD differs by multidimensional individual characteristics. We sought to investigate the heterogeneity in the association between positive CAC and incident CVD. Methods: This cohort study included adults from MESA (Multi-Ethnic Study of Atherosclerosis) ages ≥45 years and free of cardiovascular disease. After propensity score matching in a 1:1 ratio, we applied a machine learning causal forest model to (1) evaluate the heterogeneity in the association between positive CAC and incident CVD, and (2) predict the increase in CVD risk at 10-years when CAC>0 (versus CAC=0) at the individual level. We then compared the estimated increase in CVD risk when CAC>0 to the absolute 10-year atherosclerotic CVD (ASCVD) risk calculated by the 2013 American College of Cardiology/American Heart Association pooled cohort equations. Results: Across 3328 adults in our propensity score-matched analysis, our causal forest model showed the heterogeneity in the association between CAC>0 and incident CVD. We found a dose-response relationship of the estimated increase in CVD risk when CAC>0 with higher 10-year ASCVD risk. Almost all individuals (2293 of 2428 [94.4%]) with borderline risk of ASCVD or higher showed ≥2.5% increase in CVD risk when CAC>0. Even among 900 adults with low ASCVD risk, 689 (69.2%) showed ≥2.5% increase in CVD risk when CAC>0; these individuals were more likely to be male, Hispanic, and have unfavorable CVD risk factors than others. Conclusions: The expected increases in CVD risk when CAC>0 were heterogeneous across individuals. Moreover, nearly 70% of people with low ASCVD risk showed a large increase in CVD risk when CAC>0, highlighting the need for CAC screening among such low-risk individuals. Future studies are needed to assess whether targeting individuals for CAC measurements based on not only the absolute ASCVD risk but also the expected increase in CVD risk when CAC>0 improves cardiovascular outcomes. © 2023 Lippincott Williams and Wilkins. All rights reserved.",,
15,"M. Lewandowska, S. Nasr, A.D. Shapiro",Therapeutic and technological advancements in haemophilia care: Quantum leaps forward,2022,Haemophilia,John Wiley and Sons Inc,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129425845&doi=10.1111%2fhae.14531&partnerID=40&md5=2c9412c108d9bdeb9c8e13578f7e281f,,74,12/11/2024 21:11,Article,10.1111/hae.14531,13518216 (ISSN),,28,,77,92,15,7.5,5,3,2,"Introduction: Recent technological innovations in haemophilia have advanced at an astounding pace, including gene therapy programmes and bioengineered molecules for prophylaxis, products that reduce treatment burden through half-life extension, unique mechanisms of action, and subcutaneous administration. Additional technological advancements have emerged that are anticipated to further transform haemophilia care. Aim: Review new and emerging haemophilia therapies, including replacement and bypassing products, digital applications, utilisation of big data, and personalised medicine. Methods: Data were obtained from peer-reviewed presentations/publications, and ongoing studies in haemophilia, ultrasonography, and artificial intelligence (AI). Results: Available treatments include new recombinant factors VIII (FVIII) and IX (FIX), extended half-life FVIII/IX products, a new FVIIa product for inhibitor patients, and a FVIIIa-mimetic. Several novel therapeutics are in clinical trials, including FVIIIa mimetics and inhibitors of naturally-occurring anticoagulants. Ongoing gene therapy trials suggest that a single vector infusion using an optimised construct can produce factor activity that reduces bleeding to near zero for years. Today, persons with haemophilia (PwH) approach a lifespan comparable to that of the general population, presenting treatment challenges for age-related co-morbidities. Technological innovations have broadened beyond therapeutics to include large database analyses utilising remote data collection with handheld devices, and to tailor AI applications. Current development efforts include patient-performed ultrasonography, algorithms for scan interpretation, and point-of-care haemostatic testing devices. Conclusions: We have entered a golden age for haemophilia treatment and care with wide-ranging advancements targeting improved quality of life (QoL). Future-focused efforts by clinical and patient communities may provide equitable access and care for people impacted by haemophilia worldwide. © 2022 John Wiley & Sons Ltd.",,
15,"N. Mittas, F. Chatzopoulou, K.A. Kyritsis, C.I. Papagiannopoulos, N.F. Theodoroula, A.S. Papazoglou, E. Karagiannidis, G. Sofidis, D.V. Moysidis, N. Stalikas, A. Papa, D. Chatzidimitriou, G. Sianos, L. Angelis, I.S. Vizirianakis",A Risk-Stratification Machine Learning Framework for the Prediction of Coronary Artery Disease Severity: Insights From the GESS Trial,2022,Frontiers in Cardiovascular Medicine,Frontiers Media S.A.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124250344&doi=10.3389%2ffcvm.2021.812182&partnerID=40&md5=b034cce20bb0c91ec881163631e1e116,,126,12/11/2024 21:11,Article,10.3389/fcvm.2021.812182,2297055X (ISSN),,8,,,,15,7.5,2,15,2,"Our study aims to develop a data-driven framework utilizing heterogenous electronic medical and clinical records and advanced Machine Learning (ML) approaches for: (i) the identification of critical risk factors affecting the complexity of Coronary Artery Disease (CAD), as assessed via the SYNTAX score; and (ii) the development of ML prediction models for accurate estimation of the expected SYNTAX score. We propose a two-part modeling technique separating the process into two distinct phases: (a) a binary classification task for predicting, whether a patient is more likely to present with a non-zero SYNTAX score; and (b) a regression task to predict the expected SYNTAX score accountable to individual patients with a non-zero SYNTAX score. The framework is based on data collected from the GESS trial (NCT03150680) comprising electronic medical and clinical records for 303 adult patients with suspected CAD,having undergone invasive coronary angiography in AHEPA University Hospital of Thessaloniki, Greece.The deployment of the proposed approachd emonstrated that at her ogenicindex of plasma levels, diabetes mellitus and hypertension can be considered as important risk factors for discriminating patients into zero-and non-zero SYNTAX score groups, whereas diastolic and systolic arterial blood pressure, peripheral vascular disease and body mass index can be considered as significant risk factors for providing an accurate estimation of the expected SYNTAX score, given that a patient belongs to the non-zero SYNTAX score group. The experimental findings utilizing the identified set of important risk factors indicate a sufficient prediction performance for the Support Vector Machine model (classification task) with an F-measure score of ∼0.71 and the Support Vector Regression model (regression task) with a median absolute error value of ∼6.5. The proposed data-driven framework described herein present evidence of the prediction capacity and the potential clinical usefulness of the developed risk-stratification models. However, further experimentation in a larger clinical setting is needed to ensure the practical utility of the presented models in a way to contribute to a more personalized management and counseling of CAD patients. © 2022 Mittas,Chatzopoulou,Kyritsis,Papagiannopoulos,Theodoroula,.",,
15,"J. Van den Eynde, C. Manlhiot, A. Van De Bruaene, G.-P. Diller, A.F. Frangi, W. Budts, S. Kutty",Medicine-Based Evidence in Congenital Heart Disease: How Artificial Intelligence Can Guide Treatment Decisions for Individual Patients,2021,Frontiers in Cardiovascular Medicine,Frontiers Media SA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129590114&doi=10.3389%2ffcvm.2021.798215&partnerID=40&md5=a73a0003a1b2e308b2ee94937a6fff8c,,131,12/11/2024 21:11,Article,10.3389/fcvm.2021.798215,2297055X (ISSN),,8,,,,15,5,2,7,3,"Built on the foundation of the randomized controlled trial (RCT), Evidence Based Medicine (EBM) is at its best when optimizing outcomes for homogeneous cohorts of patients like those participating in an RCT. Its weakness is a failure to resolve a clinical quandary: patients appear for care individually, each may differ in important ways from an RCT cohort, and the physician will wonder each time if following EBM will provide best guidance for this unique patient. In an effort to overcome this weakness, and promote higher quality care through a more personalized approach, a new framework has been proposed: Medicine-Based Evidence (MBE). In this approach, big data and deep learning techniques are embraced to interrogate treatment responses among patients in real-world clinical practice. Such statistical models are then integrated with mechanistic disease models to construct a “digital twin,” which serves as the real-time digital counterpart of a patient. MBE is thereby capable of dynamically modeling the effects of various treatment decisions in the context of an individual's specific characteristics. In this article, we discuss how MBE could benefit patients with congenital heart disease, a field where RCTs are difficult to conduct and often fail to provide definitive solutions because of a small number of subjects, their clinical complexity, and heterogeneity. We will also highlight the challenges that must be addressed before MBE can be embraced in clinical practice and its full potential can be realized. Copyright © 2021 Van den Eynde, Manlhiot, Van De Bruaene, Diller, Frangi, Budts and Kutty.",,
14,"Y.-T. Lin, C.-Y. Chu, K.-S. Hung, C.-H. Lu, E.M. Bednarczyk, H.-Y. Chen",Can machine learning predict pharmacotherapy outcomes? An application study in osteoporosis,2022,Computer Methods and Programs in Biomedicine,Elsevier Ireland Ltd,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139374547&doi=10.1016%2fj.cmpb.2022.107028&partnerID=40&md5=1551fd54977314a74dd0a955b0d8bea4,,55,12/11/2024 21:11,Article,10.1016/j.cmpb.2022.107028,01692607 (ISSN),,225,,,,14,7,2,6,2,"Background and objective: The specific aim of this study is to develop machine learning models as a clinical approach for personalized treatment of osteoporosis. The model performance on outcome prediction was compared between four machine learning algorithms. Methods: Retrospective, electronic clinical data for patients with suspected or confirmed osteoporosis treated at Wan Fang Hospital between 2011 to 2018 were used as inputs for building the following predictive machine learning models,i.e., artificial neural network (ANN), random forest (RF), support vector machine (SVM) and logistic regression (LR) models. The predicted outcome was defined as an increase/decrease in T-score after treatment. A genetic algorithm was employed to select relevant variables as input features for each model; the leave-one-out method was applied for model building and internal validation. The model with best performance was selected by a separate set of testing. Area under the receiver operating characteristic curve, accuracy, precision, sensitivity and F1 score were calculated to evaluate model performance. Main analysis for all the patients with subclinical or confirmed osteoporosis and subgroup analysis for the patients with confirmed osteoporosis (T score < -2.5) were carried out in this study. Results: A genetic algorithm was employed to select 12 to 18 features from all 33 variables for the four models. No difference was found in accuracy (ANN, 71.7%; LR, 70.0%; RF, 75.0%; SVM, 66.7%), precision (ANN, 80.0%; LR, 59.3%; RF, 70.0%; SVM, 63.6%), and AUC (ANN, 0.709; LR, 0.731; RF, 0.719; SVM, 0.702) among the ANN, LR, RF and SVM models. Main analysis in performance revealed significant recall in the LR model, as compared to ANN and SVM model; while subgroup revealed significant recall in ANN model, compared to LR and SVM model. Conclusions: Machine learning-based models hold potential in forecasting the outcomes of treatment for osteoporosis via early initiation of first-line therapy for patients with subclinical disease; or a switch to second-line treatment for patients with a high risk of impending treatment failure. This convenient approach can assist clinicians in adjusting treatment tailored to individual patient for prevention of disease progression or ineffective therapy. © 2022",,
14,"R. Gelman, N. Hurvitz, R. Nesserat, Y. Kolben, D. Nachman, K. Jamil, S. Agus, R. Asleh, O. Amir, M. Berg, Y. Ilan",A second-generation artificial intelligence-based therapeutic regimen improves diuretic resistance in heart failure: Results of a feasibility open-labeled clinical trial,2023,Biomedicine and Pharmacotherapy,Elsevier Masson s.r.l.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149773355&doi=10.1016%2fj.biopha.2023.114334&partnerID=40&md5=4076abdb4dd00dd092dbdbfe8ddefbc4,,67,12/11/2024 21:11,Article,10.1016/j.biopha.2023.114334,07533322 (ISSN),,161,,,,14,14,1,11,1,"Introduction: Diuretics are a mainstay therapy for congestive heart failure (CHF); however, over one-third of patients develop diuretic resistance. Second-generation artificial intelligence (AI) systems introduce variability into treatment regimens to overcome the compensatory mechanisms underlying the loss of effectiveness of diuretics. This open-labeled, proof-of-concept clinical trial sought to investigate the ability to improve diuretic resistance by implementing algorithm-controlled therapeutic regimens. Methods: Ten CHF patients with diuretic resistance were enrolled in an open-labeled trial where the Altus Care™ app managed diuretics' dosage and administration times. The app provides a personalized therapeutic regimen creating variability in dosages and administration times within pre-defined ranges. Response to therapy was measured by the Kansas City Cardiomyopathy Questionnaire (KCCQ) score, 6-minute walk test (SMW), N-terminal pro-brain natriuretic peptide (NT-proBNP) levels, and renal function. Results: The second-generation, AI-based, personalized regimen alleviated diuretic resistance. All evaluable patients demonstrated clinical improvement within ten weeks of intervention. A dose reduction (based on a three-week average before and last three weeks of intervention) was achieved in 7/10 patients (70 %, p = 0.042). The KCCQ score improved in 9/10 (90 %, p = 0.002), the SMW improved in 9/9 (100 %, p = 0.006), NT-proBNP was decreased in 7/10 (70 %, p = 0.02), and serum creatinine was decreased in 6/10 (60 %, p = 0.05). The intervention was associated with reduced number of emergency room visits and the number of CHF-associated hospitalizations. The results support that the randomization of diuretic regimens guided by a second-generation personalized AI algorithm improves the response to diuretic therapy. Prospective controlled studies are needed to confirm these findings. © 2023 The Authors",,
14,"S.H. Oh, S.J. Lee, J. Park",Precision Medicine for Hypertension Patients with Type 2 Diabetes via Reinforcement Learning,2022,Journal of Personalized Medicine,MDPI,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122731333&doi=10.3390%2fjpm12010087&partnerID=40&md5=98bbd6200be1001991a2ebbd219253e6,,129,12/11/2024 21:11,Article,10.3390/jpm12010087,20754426 (ISSN),,12,1,,,14,7,5,3,2,"Precision medicine is a new approach to understanding health and disease based on patientspecific data such as medical diagnoses; clinical phenotype; biologic investigations such as laboratory studies and imaging; and environmental, demographic, and lifestyle factors. The importance of machine learning techniques in healthcare has expanded quickly in the last decade owing to the rising availability of vast multi-modality data and developed computational models and algorithms. Reinforcement learning is an appealing method for developing efficient policies in various healthcare areas where the decision-making process is typically defined by a long period or a sequential process. In our research, we leverage the power of reinforcement learning and electronic health records of South Koreans to dynamically recommend treatment prescriptions, which are personalized based on patient information of hypertension. Our proposed reinforcement learning-based treatment recommendation system decides whether to use mono, dual, or triple therapy according to the state of the hypertension patients. We evaluated the performance of our personalized treatment recommendation model by lowering the occurrence of hypertension-related complications and blood pressure levels of patients who followed our model’s recommendation. With our findings, we believe that our proposed hypertension treatment recommendation model could assist doctors in prescribing appropriate antihypertensive medications. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",,
13,"J.J. Luxton, M.J. McKenna, A.M. Lewis, L.E. Taylor, S.G. Jhavar, G.P. Swanson, S.M. Bailey",Telomere length dynamics and chromosomal instability for predicting individual radiosensitivity and risk via machine learning,2021,Journal of Personalized Medicine,MDPI AG,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103022184&doi=10.3390%2fjpm11030188&partnerID=40&md5=9038178c819da804a2aa95bb2e8a0048,,133,12/11/2024 21:11,Article,10.3390/jpm11030188,20754426 (ISSN),,11,3,,,13,4.33,2,7,3,"The ability to predict a cancer patient’s response to radiotherapy and risk of developing adverse late health effects would greatly improve personalized treatment regimens and individual outcomes. Telomeres represent a compelling biomarker of individual radiosensitivity and risk, as exposure can result in dysfunctional telomere pathologies that coincidentally overlap with many radiation-induced late effects, ranging from degenerative conditions like fibrosis and cardiovascular disease to proliferative pathologies like cancer. Here, telomere length was longitudinally assessed in a cohort of fifteen prostate cancer patients undergoing Intensity Modulated Radiation Therapy (IMRT) utilizing Telomere Fluorescence in situ Hybridization (Telo-FISH). To evaluate genome instability and enhance predictions for individual patient risk of secondary malignancy, chromosome aberrations were assessed utilizing directional Genomic Hybridization (dGH) for high-resolution inversion detection. We present the first implementation of individual telomere length data in a machine learning model, XGBoost, trained on pre-radiotherapy (baseline) and in vitro exposed (4 Gy γ-rays) telomere length measurements, to predict post radiotherapy telomeric outcomes, which together with chromosomal instability provide insight into individual radiosensitivity and risk for radiation-induced late effects. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",,
12,"M. Ciccarelli, F. Giallauria, A. Carrizzo, V. Visco, A. Silverio, A. Cesaro, P. Calabrò, N. De Luca, C. Mancusi, D. Masarone, G. Pacileo, N. Tourkmani, C. Vigorito, C. Vecchione",Artificial intelligence in cardiovascular prevention: New ways will open new doors,2023,Journal of Cardiovascular Medicine,Lippincott Williams and Wilkins,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159451731&doi=10.2459%2fJCM.0000000000001431&partnerID=40&md5=64c36649f27f48668cd30fec7525bff5,,33,12/11/2024 21:11,Article,10.2459/JCM.0000000000001431,15582027 (ISSN),,24,,,,12,12,1,14,1,"Prevention and effective treatment of cardiovascular disease are progressive issues that grow in tandem with the average age of the world population. Over recent decades, the potential role of artificial intelligence in cardiovascular medicine has been increasingly recognized because of the incredible amount of real-world data (RWD) regarding patient health status and healthcare delivery that can be collated from a variety of sources wherein patient information is routinely collected, including patient registries, clinical case reports, reimbursement claims and billing reports, medical devices, and electronic health records. Like any other (health) data, RWD can be analysed in accordance with high-quality research methods, and its analysis can deliver valuable patient-centric insights complementing the information obtained from conventional clinical trials. Artificial intelligence application on RWD has the potential to detect a patient's health trajectory leading to personalized medicine and tailored treatment. This article reviews the benefits of artificial intelligence in cardiovascular prevention and management, focusing on diagnostic and therapeutic improvements without neglecting the limitations of this new scientific approach.  © Copyright 2023 Italian Federation of Cardiology - I.F.C. All rights reserved.",,
12,"Y. Wu, L. Zhang, U.A. Bhatti, M. Huang",Interpretable Machine Learning for Personalized Medical Recommendations: A LIME-Based Approach,2023,Diagnostics,Multidisciplinary Digital Publishing Institute (MDPI),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169004872&doi=10.3390%2fdiagnostics13162681&partnerID=40&md5=b2bf10bf7714695936684df6ad7069de,,34,12/11/2024 21:11,Article,10.3390/diagnostics13162681,20754418 (ISSN),,13,16,,,12,12,3,4,1,"Chronic diseases are increasingly major threats to older persons, seriously affecting their physical health and well-being. Hospitals have accumulated a wealth of health-related data, including patients’ test reports, treatment histories, and diagnostic records, to better understand patients’ health, safety, and disease progression. Extracting relevant information from this data enables physicians to provide personalized patient-treatment recommendations. While collaborative filtering techniques and classical algorithms such as naive Bayes, logistic regression, and decision trees have had notable success in health-recommendation systems, most current systems primarily inform users of their likely preferences without providing explanations. This paper proposes an approach of deep learning with a local interpretable model–agnostic explanations (LIME)-based interpretable recommendation system to solve this problem. Specifically, we apply the proposed approach to two chronic diseases common in older adults: heart disease and diabetes. After data preprocessing, we use six deep-learning algorithms to form interpretations. In the heart-disease data set, the actual model recommendation of multi-layer perceptron and gradient-boosting algorithm differs from the local model’s recommendation of LIME, which can be used as its approximate prediction. From the feature importance of these two algorithms, it can be seen that the CholCheck, GenHith, and HighBP features are the most important for predicting heart disease. In the diabetes data set, the actual model predictions of the multi-layer perceptron and logistic-regression algorithm were little different from the local model’s prediction of LIME, which can be used as its approximate recommendation. Moreover, from the feature importance of the two algorithms, it can be seen that the three features of glucose, BMI, and age were the most important for predicting heart disease. Next, LIME is used to determine the importance of each feature that affected the results of the calculated model. Subsequently, we present the contribution coefficients of these features to the final recommendation. By analyzing the impact of different patient characteristics on the recommendations, our proposed system elucidates the underlying reasons behind these recommendations and enhances patient trust. This approach has important implications for medical recommendation systems and encourages informed decision-making in healthcare. © 2023 by the authors.",,
